"Paper Mate Pink Pearl Erasers, Large, 3 Count",$3.07,Paper Mate,,1.6 ounces,B00006IFAQ,"3,559 ratings",3 Pack,‎70501,1
"Elmer's Glue Stick (E579), Disappearing Purple, 12 Sticks",$3.45,Elmer's,,5.7 ounces,B003ULCZ7M,"22,650 ratings",12 Count,‎E1559,1
"Dixie Paper Plates, 10 1/16 inch, Dinner Size Printed Disposable Plate, 220 count (5 packs of 44 Plates), Packaging and Design May Vary",$19.99,,,,B07BHTV9VQ,"54,314 ratings",,16041
"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls",$26.72,,,,B0798DVT68,"37,354 ratings",,43217-6299
"Affresh Washer Machine Cleaner, Whiite , 6-Tablets, 8.4 oz - W10501250",,,,,B00C91Q86I,"136,024 ratings",,W10501250
"Bounty Quick-Size Paper Towels, 16 Family Rolls",$31.57,,,,B079VP6DH5,"60,616 ratings",,1299292831
"Amazon Brand - Presto! 308-Sheet Mega Roll Toilet Paper, Ultra-Soft, 24 Mega Rolls = 96 regular rolls",$22.25,,,,B074CRK54X,"80,135 ratings",,
"Amazon Basics 48 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",$14.99,,,,B00MNV8E0C,"360,889 ratings",,ALK AA48FFP-U AMZ
"Amazon Basics 36 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",$10.99,,,,B00LH3DMUO,"347,467 ratings",,ALK AAA36FFP-U AMZ
"Bounty Quick-Size Paper Towels, White, 8 Family Rolls = 20 Regular Rolls",$15.79,,,,B07MHJFRBJ,"52,441 ratings",,SG_B07MHJFRBJ_US
"Amazon Brand - Presto! Flex-a-Size Paper Towels, Huge Roll, 12 Count = 30 Regular Rolls",$25.29,,,,B074CR89QG,"68,660 ratings",,
"Bounty Quick-Size Paper Towels, 16 Family Rolls",$31.57,,,,B079VP6DH5,"60,616 ratings",,1299292831
"Scotch Thermal Laminating Pouches, 200-Pack, 8.9 x 11.4 Inches, Letter Size Sheets, Clear, 3-Mil (TP3854-200)",$29.99,Scotch,,1 pounds,B00CBAWIIY,"12,547 ratings",Unit,‎TP3854-200,1
"Scotch Thermal Laminating Pouches, 100-Pack, 8.9 x 11.4 Inches, Letter Size Sheets (TP3854-100)",$11.99,Scotch,,2.97 pounds,B007VBXB48,"40,489 ratings",100-Pack,‎TP3854-100,1
"Acer Nitro 5 AN515-55-53E5 Gaming Laptop | Intel Core i5-10300H | NVIDIA GeForce RTX 3050 Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 256GB NVMe SSD | Intel Wi-Fi 6 | Backlit Keyboard",$839.99,NVIDIA,,5.07 pounds,B092YHJGMN,"3,994 ratings",256,‎AN515-55-53E5
"Acer Predator Helios 300 PH315-54-760S Gaming Laptop | Intel i7-11800H | NVIDIA GeForce RTX 3060 Laptop GPU | 15.6"" Full HD 144Hz 3ms IPS Display | 16GB DDR4 | 512GB SSD | Killer WiFi 6 | RGB Keyboard","$1,299.99",NVIDIA,,5.06 pounds,B092YHJLS6,"3,445 ratings",512,‎PH315-54-760S
